bounty,frame_timestamp,game_id,kill_streak_length,killer_id,position_x,position_y,shutdown_bounty,timestamp,type,victim_id
300.0,780311,7587603876,1.0,2.0,8167.0,7277.0,112.0,778696,CHAMPION_KILL,6.0
300.0,840325,7587603876,0.0,8.0,9713.0,7196.0,24.0,789628,CHAMPION_KILL,1.0
300.0,840325,7587603876,2.0,2.0,10399.0,7496.0,3.0,793205,CHAMPION_KILL,8.0
300.0,840325,7587603876,3.0,2.0,11940.0,5337.0,6.0,799784,CHAMPION_KILL,7.0
110.0,840325,7587603876,0.0,5.0,7485.0,7927.0,0.0,833774,CHAMPION_KILL,10.0
300.0,840325,7587603876,0.0,8.0,7840.0,7521.0,0.0,838182,CHAMPION_KILL,4.0
300.0,960347,7587603876,0.0,6.0,791.0,10357.0,0.0,922319,CHAMPION_KILL,1.0
300.0,960347,7587603876,1.0,6.0,859.0,6908.0,2.0,957241,CHAMPION_KILL,3.0
262.0,1020359,7587603876,1.0,5.0,4787.0,7577.0,0.0,973642,CHAMPION_KILL,9.0
300.0,1020359,7587603876,0.0,1.0,5257.0,8784.0,20.0,985235,CHAMPION_KILL,7.0
300.0,1140375,7587603876,0.0,7.0,13357.0,9397.0,0.0,1116210,CHAMPION_KILL,3.0
126.0,1140375,7587603876,0.0,4.0,6274.0,6284.0,0.0,1116644,CHAMPION_KILL,10.0
300.0,1200386,7587603876,2.0,5.0,5350.0,7226.0,0.0,1180095,CHAMPION_KILL,7.0
100.0,1200386,7587603876,4.0,2.0,7627.0,7829.0,0.0,1191178,CHAMPION_KILL,10.0
275.0,1260407,7587603876,1.0,4.0,10652.0,11110.0,0.0,1217403,CHAMPION_KILL,9.0
100.0,1260407,7587603876,5.0,2.0,11574.0,5783.0,0.0,1255709,CHAMPION_KILL,10.0
300.0,1354809,7587603876,1.0,1.0,3197.0,7432.0,0.0,1326834,CHAMPION_KILL,8.0
100.0,1354809,7587603876,2.0,4.0,4525.0,7289.0,0.0,1330206,CHAMPION_KILL,10.0
220.0,1354809,7587603876,0.0,3.0,5289.0,8585.0,0.0,1334013,CHAMPION_KILL,9.0
300.0,1354809,7587603876,6.0,2.0,6523.0,9528.0,0.0,1338876,CHAMPION_KILL,6.0
300.0,120011,7586955442,0.0,4.0,13127.0,3925.0,0.0,114463,CHAMPION_KILL,10.0
300.0,240018,7586955442,0.0,9.0,13011.0,2932.0,0.0,184805,CHAMPION_KILL,5.0
234.0,300031,7586955442,0.0,7.0,7110.0,1038.0,0.0,243658,CHAMPION_KILL,5.0
300.0,300031,7586955442,0.0,3.0,6456.0,7089.0,0.0,256459,CHAMPION_KILL,8.0
300.0,300031,7586955442,0.0,1.0,1000.0,11503.0,0.0,299463,CHAMPION_KILL,6.0
259.0,360046,7586955442,1.0,3.0,7113.0,6336.0,0.0,345817,CHAMPION_KILL,8.0
300.0,420143,7586955442,0.0,2.0,9762.0,6596.0,9.0,362818,CHAMPION_KILL,7.0
204.0,420143,7586955442,0.0,6.0,3654.0,10052.0,0.0,404413,CHAMPION_KILL,5.0
300.0,420143,7586955442,1.0,2.0,3525.0,9926.0,0.0,405248,CHAMPION_KILL,6.0
263.0,540173,7586955442,1.0,1.0,3643.0,13485.0,0.0,527836,CHAMPION_KILL,6.0
286.0,600204,7586955442,2.0,3.0,7274.0,7551.0,0.0,549591,CHAMPION_KILL,8.0
290.0,600204,7586955442,2.0,2.0,14027.0,4138.0,0.0,563023,CHAMPION_KILL,10.0
300.0,600204,7586955442,0.0,5.0,14071.0,5426.0,11.0,573920,CHAMPION_KILL,9.0
286.0,600204,7586955442,0.0,7.0,14101.0,5382.0,0.0,577293,CHAMPION_KILL,5.0
224.0,660207,7586955442,2.0,1.0,2846.0,12780.0,0.0,644394,CHAMPION_KILL,6.0
268.0,720232,7586955442,3.0,3.0,8612.0,8612.0,0.0,705637,CHAMPION_KILL,8.0
240.0,780262,7586955442,0.0,9.0,10931.0,4988.0,0.0,751885,CHAMPION_KILL,5.0
168.0,900291,7586955442,0.0,8.0,9410.0,3233.0,0.0,841349,CHAMPION_KILL,5.0
300.0,900291,7586955442,3.0,1.0,10023.0,5751.0,16.0,887021,CHAMPION_KILL,9.0
300.0,960325,7586955442,4.0,3.0,12081.0,3628.0,0.0,906971,CHAMPION_KILL,8.0
300.0,960325,7586955442,1.0,7.0,9705.0,3365.0,381.0,911480,CHAMPION_KILL,2.0
