feat_type,feat_value,frame_timestamp,game_id,team_id,timestamp,type
0.0,1.0,360150,7587363782,200.0,310939,FEAT_UPDATE
0.0,2.0,360150,7587363782,100.0,352034,FEAT_UPDATE
2.0,1.0,420187,7587363782,100.0,392318,FEAT_UPDATE
0.0,3.0,480203,7587363782,100.0,440438,FEAT_UPDATE
0.0,1001.0,480203,7587363782,200.0,440438,FEAT_UPDATE
2.0,2.0,660229,7587363782,100.0,605133,FEAT_UPDATE
2.0,3.0,720232,7587363782,100.0,684517,FEAT_UPDATE
2.0,1001.0,720232,7587363782,200.0,684517,FEAT_UPDATE
0.0,1.0,120045,7587371721,200.0,111161,FEAT_UPDATE
0.0,1.0,180158,7587371721,100.0,177729,FEAT_UPDATE
0.0,2.0,180158,7587371721,200.0,178597,FEAT_UPDATE
0.0,2.0,240168,7587371721,100.0,224530,FEAT_UPDATE
0.0,3.0,240168,7587371721,200.0,227335,FEAT_UPDATE
0.0,1001.0,240168,7587371721,100.0,227335,FEAT_UPDATE
2.0,1.0,480243,7587371721,100.0,444268,FEAT_UPDATE
2.0,1.0,540263,7587371721,200.0,483249,FEAT_UPDATE
2.0,2.0,780324,7587371721,100.0,724822,FEAT_UPDATE
2.0,3.0,840327,7587371721,100.0,817718,FEAT_UPDATE
2.0,1001.0,840327,7587371721,200.0,817718,FEAT_UPDATE
1.0,1.0,900344,7587371721,100.0,850216,FEAT_UPDATE
1.0,1001.0,900344,7587371721,200.0,850216,FEAT_UPDATE
0.0,1.0,180113,7586920182,200.0,138174,FEAT_UPDATE
0.0,1.0,180113,7586920182,100.0,166448,FEAT_UPDATE
0.0,2.0,180113,7586920182,200.0,169955,FEAT_UPDATE
0.0,2.0,180113,7586920182,100.0,171825,FEAT_UPDATE
0.0,3.0,300123,7586920182,100.0,268932,FEAT_UPDATE
0.0,1001.0,300123,7586920182,200.0,268932,FEAT_UPDATE
2.0,1.0,420139,7586920182,200.0,370401,FEAT_UPDATE
2.0,1.0,420139,7586920182,100.0,390891,FEAT_UPDATE
2.0,2.0,720213,7586920182,100.0,663764,FEAT_UPDATE
2.0,2.0,840247,7586920182,200.0,834216,FEAT_UPDATE
1.0,1.0,960271,7586920182,100.0,904950,FEAT_UPDATE
1.0,1001.0,960271,7586920182,200.0,904950,FEAT_UPDATE
0.0,1.0,120008,7587426287,100.0,116534,FEAT_UPDATE
0.0,1.0,180031,7587426287,200.0,171280,FEAT_UPDATE
0.0,2.0,240037,7587426287,100.0,203622,FEAT_UPDATE
0.0,3.0,240037,7587426287,100.0,212482,FEAT_UPDATE
0.0,1001.0,240037,7587426287,200.0,212482,FEAT_UPDATE
